year,industry1,industry2,industry3,occupation1,job_vacancy,quarter
1999,total,total,total,"production and transport operators, cleaners and labourers",7500,Q4
1999,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",total,100,Q1
1999,manufacturing,"food, beverages and tobacco","food, beverages and tobacco","professional, managers, executive and technicians",-,Q2
1999,manufacturing,"food, beverages and tobacco","food, beverages and tobacco","clerical, sales and services workers",-,Q3
1999,manufacturing,"food, beverages and tobacco","food, beverages and tobacco","production and transport operators, cleaners and labourers",-,Q4
1999,manufacturing,textile and wearing apparel,textile and wearing apparel,total,400,Q1
1999,manufacturing,textile and wearing apparel,textile and wearing apparel,"professional, managers, executive and technicians",-,Q2
1999,manufacturing,textile and wearing apparel,textile and wearing apparel,"clerical, sales and services workers",-,Q3
1999,manufacturing,textile and wearing apparel,textile and wearing apparel,"production and transport operators, cleaners and labourers",400,Q4
1999,manufacturing,paper products and publishing,paper products and publishing,total,500,Q1
1999,manufacturing,paper products and publishing,paper products and publishing,"professional, managers, executive and technicians",100,Q2
1999,manufacturing,paper products and publishing,paper products and publishing,"clerical, sales and services workers",100,Q3
2000,manufacturing,electrical products,electrical products,total,200,Q4
1999,manufacturing,paper products and publishing,paper products and publishing,"production and transport operators, cleaners and labourers",300,Q1
1999,manufacturing,petroleum and chemical products,petroleum and chemical products,total,200,Q2
1999,manufacturing,petroleum and chemical products,petroleum and chemical products,"professional, managers, executive and technicians",100,Q3
1999,manufacturing,petroleum and chemical products,petroleum and chemical products,"clerical, sales and services workers",-,Q4
1999,manufacturing,petroleum and chemical products,petroleum and chemical products,"production and transport operators, cleaners and labourers",100,Q1
1999,manufacturing,rubber and plastic products,rubber and plastic products,total,400,Q2
1999,manufacturing,rubber and plastic products,rubber and plastic products,"professional, managers, executive and technicians",100,Q3
1999,manufacturing,rubber and plastic products,rubber and plastic products,"clerical, sales and services workers",-,Q4
1999,manufacturing,rubber and plastic products,rubber and plastic products,"production and transport operators, cleaners and labourers",300,Q1
1999,manufacturing,fabricated metal products,fabricated metal products,total,700,Q2
1999,manufacturing,fabricated metal products,fabricated metal products,"professional, managers, executive and technicians",200,Q3
1999,manufacturing,fabricated metal products,fabricated metal products,"clerical, sales and services workers",100,Q4
1999,manufacturing,fabricated metal products,fabricated metal products,"production and transport operators, cleaners and labourers",500,Q1
1999,manufacturing,machinery and equipment,machinery and equipment,total,700,Q2
1999,manufacturing,machinery and equipment,machinery and equipment,"professional, managers, executive and technicians",200,Q3
1999,manufacturing,machinery and equipment,machinery and equipment,"clerical, sales and services workers",100,Q4
1999,manufacturing,machinery and equipment,machinery and equipment,"production and transport operators, cleaners and labourers",400,Q1
1999,manufacturing,electrical products,electrical products,total,100,Q2
1999,manufacturing,electrical products,electrical products,"professional, managers, executive and technicians",-,Q3
1999,manufacturing,electrical products,electrical products,"clerical, sales and services workers",-,Q4
1999,manufacturing,electrical products,electrical products,"production and transport operators, cleaners and labourers",100,Q1
1999,manufacturing,electronic products,electronic products,total,1800,Q2
1999,manufacturing,electronic products,electronic products,"professional, managers, executive and technicians",800,Q3
1999,manufacturing,electronic products,electronic products,"clerical, sales and services workers",100,Q4
1999,manufacturing,electronic products,electronic products,"production and transport operators, cleaners and labourers",1000,Q1
1999,manufacturing,medical and precision instruments,medical and precision instruments,total,100,Q2
1999,manufacturing,medical and precision instruments,medical and precision instruments,"professional, managers, executive and technicians",-,Q3
1999,manufacturing,medical and precision instruments,medical and precision instruments,"clerical, sales and services workers",-,Q4
1999,manufacturing,medical and precision instruments,medical and precision instruments,"production and transport operators, cleaners and labourers",100,Q1
1999,manufacturing,transport equipment,transport equipment,total,700,Q2
1999,manufacturing,transport equipment,transport equipment,"professional, managers, executive and technicians",200,Q3
1999,manufacturing,transport equipment,transport equipment,"clerical, sales and services workers",100,Q4
1999,manufacturing,transport equipment,transport equipment,"production and transport operators, cleaners and labourers",500,Q1
1999,manufacturing,other manufacturing industries,other manufacturing industries,total,200,Q2
1999,manufacturing,other manufacturing industries,other manufacturing industries,"professional, managers, executive and technicians",-,Q3
1999,manufacturing,other manufacturing industries,other manufacturing industries,"clerical, sales and services workers",-,Q4
1999,manufacturing,other manufacturing industries,other manufacturing industries,"production and transport operators, cleaners and labourers",100,Q1
1999,construction,construction,construction,total,1900,Q2
1999,construction,construction,construction,"professional, managers, executive and technicians",200,Q3
1999,construction,construction,construction,"clerical, sales and services workers",100,Q4
1999,construction,construction,construction,"production and transport operators, cleaners and labourers",1600,Q1
1999,services,wholesale and retail trade,wholesale trade,total,1800,Q2
1999,services,wholesale and retail trade,wholesale trade,"professional, managers, executive and technicians",700,Q3
1999,services,wholesale and retail trade,wholesale trade,"clerical, sales and services workers",600,Q4
1999,services,wholesale and retail trade,wholesale trade,"production and transport operators, cleaners and labourers",400,Q1
1999,services,wholesale and retail trade,retail trade,total,800,Q2
1999,services,wholesale and retail trade,retail trade,"professional, managers, executive and technicians",100,Q3
1999,services,wholesale and retail trade,retail trade,"clerical, sales and services workers",600,Q4
1999,services,wholesale and retail trade,retail trade,"production and transport operators, cleaners and labourers",100,Q1
1999,services,hotels and restaurants,hotels,total,700,Q2
1999,services,hotels and restaurants,hotels,"professional, managers, executive and technicians",100,Q3
1999,services,hotels and restaurants,hotels,"clerical, sales and services workers",500,Q4
1999,services,hotels and restaurants,hotels,"production and transport operators, cleaners and labourers",100,Q1
1999,services,hotels and restaurants,restaurants,total,800,Q2
1999,services,hotels and restaurants,restaurants,"professional, managers, executive and technicians",100,Q3
1999,services,hotels and restaurants,restaurants,"clerical, sales and services workers",500,Q4
1999,services,hotels and restaurants,restaurants,"production and transport operators, cleaners and labourers",100,Q1
1999,services,"transport, storage and communications","transport, storage and communications",total,2700,Q2
1999,services,"transport, storage and communications","transport, storage and communications","professional, managers, executive and technicians",700,Q3
1999,services,"transport, storage and communications","transport, storage and communications","clerical, sales and services workers",1300,Q4
1999,services,"transport, storage and communications","transport, storage and communications","production and transport operators, cleaners and labourers",700,Q1
1999,services,financial intermediation,financial institutions,total,1400,Q2
1999,services,financial intermediation,financial institutions,"professional, managers, executive and technicians",800,Q3
1999,services,financial intermediation,financial institutions,"clerical, sales and services workers",400,Q4
1999,services,financial intermediation,financial institutions,"production and transport operators, cleaners and labourers",100,Q1
1999,services,financial intermediation,insurance and pension funding,total,100,Q2
1999,services,financial intermediation,insurance and pension funding,"professional, managers, executive and technicians",100,Q3
1999,services,financial intermediation,insurance and pension funding,"clerical, sales and services workers",-,Q4
1999,services,financial intermediation,insurance and pension funding,"production and transport operators, cleaners and labourers",-,Q1
1999,services,business and real estate services,business and real estate services,total,2200,Q2
1999,services,business and real estate services,business and real estate services,"professional, managers, executive and technicians",1100,Q3
1999,services,business and real estate services,business and real estate services,"clerical, sales and services workers",800,Q4
1999,services,business and real estate services,business and real estate services,"production and transport operators, cleaners and labourers",300,Q1
1999,services,"community, social and personal services","community, social and personal services",total,2200,Q2
1999,services,"community, social and personal services","community, social and personal services","professional, managers, executive and technicians",1100,Q3
1999,services,"community, social and personal services","community, social and personal services","clerical, sales and services workers",800,Q4
1999,services,"community, social and personal services","community, social and personal services","production and transport operators, cleaners and labourers",300,Q1
1999,others,others,others,total,300,Q2
1999,others,others,others,"professional, managers, executive and technicians",200,Q3
1999,others,others,others,"clerical, sales and services workers",-,Q4
1999,others,others,others,"production and transport operators, cleaners and labourers",-,Q1
2000,total,total,total,total,27600,Q2
2000,total,total,total,"professional, managers, executive and technicians",9900,Q3
2000,total,total,total,"clerical, sales and services workers",8000,Q4
2000,total,total,total,"production and transport operators, cleaners and labourers",9700,Q1
2000,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",total,200,Q2
2000,manufacturing,"food, beverages and tobacco","food, beverages and tobacco","professional, managers, executive and technicians",-,Q3
2000,manufacturing,"food, beverages and tobacco","food, beverages and tobacco","clerical, sales and services workers",-,Q4
2000,manufacturing,"food, beverages and tobacco","food, beverages and tobacco","production and transport operators, cleaners and labourers",100,Q1
2000,manufacturing,paper products and printing,paper products and printing,total,300,Q2
2000,manufacturing,paper products and printing,paper products and printing,"professional, managers, executive and technicians",-,Q3
2000,manufacturing,paper products and printing,paper products and printing,"clerical, sales and services workers",-,Q4
2000,manufacturing,paper products and printing,paper products and printing,"production and transport operators, cleaners and labourers",200,Q1
2000,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",total,300,Q2
2000,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products","professional, managers, executive and technicians",100,Q3
2000,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products","clerical, sales and services workers",-,Q4
2000,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products","production and transport operators, cleaners and labourers",100,Q1
2000,manufacturing,rubber and plastic products,rubber and plastic products,total,700,Q2
2000,manufacturing,rubber and plastic products,rubber and plastic products,"professional, managers, executive and technicians",100,Q3
2000,manufacturing,rubber and plastic products,rubber and plastic products,"clerical, sales and services workers",100,Q4
2000,manufacturing,rubber and plastic products,rubber and plastic products,"production and transport operators, cleaners and labourers",600,Q1
2000,manufacturing,fabricated metal products,fabricated metal products,total,900,Q2
2000,manufacturing,fabricated metal products,fabricated metal products,"professional, managers, executive and technicians",200,Q3
2000,manufacturing,fabricated metal products,fabricated metal products,"clerical, sales and services workers",100,Q4
2000,manufacturing,fabricated metal products,fabricated metal products,"production and transport operators, cleaners and labourers",600,Q1
2000,manufacturing,machinery and equipment,machinery and equipment,total,1000,Q2
2000,manufacturing,machinery and equipment,machinery and equipment,"professional, managers, executive and technicians",200,Q3
2000,manufacturing,machinery and equipment,machinery and equipment,"clerical, sales and services workers",100,Q4
2000,manufacturing,machinery and equipment,machinery and equipment,"production and transport operators, cleaners and labourers",700,Q1
2000,manufacturing,electrical products,electrical products,"professional, managers, executive and technicians",100,Q2
2000,manufacturing,electrical products,electrical products,"clerical, sales and services workers",-,Q3
2000,manufacturing,electrical products,electrical products,"production and transport operators, cleaners and labourers",100,Q4
2000,manufacturing,electronic products,electronic products,total,2900,Q1
2000,manufacturing,electronic products,electronic products,"professional, managers, executive and technicians",1300,Q2
2000,manufacturing,electronic products,electronic products,"clerical, sales and services workers",200,Q3
2000,manufacturing,electronic products,electronic products,"production and transport operators, cleaners and labourers",1400,Q4
2000,manufacturing,medical and precision instruments,medical and precision instruments,total,300,Q1
2000,manufacturing,medical and precision instruments,medical and precision instruments,"professional, managers, executive and technicians",100,Q2
2000,manufacturing,medical and precision instruments,medical and precision instruments,"clerical, sales and services workers",-,Q3
2000,manufacturing,medical and precision instruments,medical and precision instruments,"production and transport operators, cleaners and labourers",200,Q4
2000,manufacturing,transport equipment,transport equipment,total,1100,Q1
2000,manufacturing,transport equipment,transport equipment,"professional, managers, executive and technicians",200,Q2
2000,manufacturing,transport equipment,transport equipment,"clerical, sales and services workers",100,Q3
2000,manufacturing,transport equipment,transport equipment,"production and transport operators, cleaners and labourers",800,Q4
2000,manufacturing,other manufacturing industries,other manufacturing industries,total,700,Q1
2000,manufacturing,other manufacturing industries,other manufacturing industries,"professional, managers, executive and technicians",100,Q2
2000,manufacturing,other manufacturing industries,other manufacturing industries,"clerical, sales and services workers",100,Q3
2000,manufacturing,other manufacturing industries,other manufacturing industries,"production and transport operators, cleaners and labourers",600,Q4
2000,construction,construction,construction,total,1600,Q1
2000,construction,construction,construction,"professional, managers, executive and technicians",300,Q2
2000,construction,construction,construction,"clerical, sales and services workers",100,Q3
2000,construction,construction,construction,"production and transport operators, cleaners and labourers",1200,Q4
2000,services,wholesale and retail trade,wholesale trade,total,2100,Q1
2000,services,wholesale and retail trade,wholesale trade,"professional, managers, executive and technicians",900,Q2
2000,services,wholesale and retail trade,wholesale trade,"clerical, sales and services workers",700,Q3
2000,services,wholesale and retail trade,wholesale trade,"production and transport operators, cleaners and labourers",400,Q4
2000,services,wholesale and retail trade,retail trade,total,1200,Q1
2000,services,wholesale and retail trade,retail trade,"professional, managers, executive and technicians",100,Q2
2000,services,wholesale and retail trade,retail trade,"clerical, sales and services workers",1000,Q3
2000,services,wholesale and retail trade,retail trade,"production and transport operators, cleaners and labourers",100,Q4
2000,services,transport and storage,land transport and supporting services,total,500,Q1
2000,services,transport and storage,land transport and supporting services,"professional, managers, executive and technicians",-,Q2
2000,services,transport and storage,land transport and supporting services,"clerical, sales and services workers",100,Q3
2000,services,transport and storage,land transport and supporting services,"production and transport operators, cleaners and labourers",300,Q4
2000,services,transport and storage,water transport and supporting services,total,1000,Q1
2000,services,transport and storage,water transport and supporting services,"professional, managers, executive and technicians",200,Q2
2000,services,transport and storage,water transport and supporting services,"clerical, sales and services workers",100,Q3
2000,services,transport and storage,water transport and supporting services,"production and transport operators, cleaners and labourers",800,Q4
2000,services,transport and storage,air transport and supporting services,total,1100,Q1
2000,services,transport and storage,air transport and supporting services,"professional, managers, executive and technicians",200,Q2
2000,services,transport and storage,air transport and supporting services,"clerical, sales and services workers",700,Q3
2000,services,transport and storage,air transport and supporting services,"production and transport operators, cleaners and labourers",100,Q4
2000,services,transport and storage,other transport and storage services,total,300,Q1
2000,services,transport and storage,other transport and storage services,"professional, managers, executive and technicians",100,Q2
2000,services,transport and storage,other transport and storage services,"clerical, sales and services workers",200,Q3
2000,services,transport and storage,other transport and storage services,"production and transport operators, cleaners and labourers",100,Q4
2000,services,hotels and restaurants,hotels,total,1000,Q1
2000,services,hotels and restaurants,hotels,"professional, managers, executive and technicians",100,Q2
2000,services,hotels and restaurants,hotels,"clerical, sales and services workers",700,Q3
2000,services,hotels and restaurants,hotels,"production and transport operators, cleaners and labourers",100,Q4
2000,services,hotels and restaurants,restaurants,total,800,Q1
2000,services,hotels and restaurants,restaurants,"professional, managers, executive and technicians",100,Q2
2000,services,hotels and restaurants,restaurants,"clerical, sales and services workers",600,Q3
2000,services,hotels and restaurants,restaurants,"production and transport operators, cleaners and labourers",200,Q4
2000,services,information and communications,broadcasting and publishing,total,400,Q1
2000,services,information and communications,broadcasting and publishing,"professional, managers, executive and technicians",400,Q2
2000,services,information and communications,broadcasting and publishing,"clerical, sales and services workers",100,Q3
2000,services,information and communications,broadcasting and publishing,"production and transport operators, cleaners and labourers",-,Q4
2000,services,information and communications,telecommunications,total,600,Q1
2000,services,information and communications,telecommunications,"professional, managers, executive and technicians",300,Q2
2000,services,information and communications,telecommunications,"clerical, sales and services workers",300,Q3
2000,services,information and communications,telecommunications,"production and transport operators, cleaners and labourers",-,Q4
2000,services,information and communications,it and other information services,total,800,Q1
2000,services,information and communications,it and other information services,"professional, managers, executive and technicians",700,Q2
2000,services,information and communications,it and other information services,"clerical, sales and services workers",-,Q3
2000,services,information and communications,it and other information services,"production and transport operators, cleaners and labourers",-,Q4
2000,services,financial services,financial institutions,total,2100,Q1
2000,services,financial services,financial institutions,"professional, managers, executive and technicians",1300,Q2
2000,services,financial services,financial institutions,"clerical, sales and services workers",700,Q3
2000,services,financial services,financial institutions,"production and transport operators, cleaners and labourers",100,Q4
2000,services,financial services,insurance,total,300,Q1
2000,services,financial services,insurance,"professional, managers, executive and technicians",200,Q2
2000,services,financial services,insurance,"clerical, sales and services workers",100,Q3
2000,services,financial services,insurance,"production and transport operators, cleaners and labourers",-,Q4
2000,services,real estate and leasing services,real estate and leasing services,total,700,Q1
2000,services,real estate and leasing services,real estate and leasing services,"professional, managers, executive and technicians",100,Q2
2000,services,real estate and leasing services,real estate and leasing services,"clerical, sales and services workers",300,Q3
2000,services,real estate and leasing services,real estate and leasing services,"production and transport operators, cleaners and labourers",300,Q4
2000,services,professional services,"legal, accounting and management services",total,600,Q1
2000,services,professional services,"legal, accounting and management services","professional, managers, executive and technicians",400,Q2
2000,services,professional services,"legal, accounting and management services","clerical, sales and services workers",100,Q3
2000,services,professional services,"legal, accounting and management services","production and transport operators, cleaners and labourers",-,Q4
2000,services,professional services,architectural and engineering services,total,400,Q1
2000,services,professional services,architectural and engineering services,"professional, managers, executive and technicians",200,Q2
2000,services,professional services,architectural and engineering services,"clerical, sales and services workers",100,Q3
2000,services,professional services,architectural and engineering services,"production and transport operators, cleaners and labourers",100,Q4
2000,services,professional services,other professional services,total,300,Q1
2000,services,professional services,other professional services,"professional, managers, executive and technicians",200,Q2
2000,services,professional services,other professional services,"clerical, sales and services workers",100,Q3
2000,services,professional services,other professional services,"production and transport operators, cleaners and labourers",-,Q4
2000,services,administrative and support services,administrative and support services,total,700,Q1
2000,services,administrative and support services,administrative and support services,"professional, managers, executive and technicians",100,Q2
2000,services,administrative and support services,administrative and support services,"clerical, sales and services workers",500,Q3
2000,services,administrative and support services,administrative and support services,"production and transport operators, cleaners and labourers",200,Q4
2000,services,"community, social and personal services",education,total,300,Q1
2000,services,"community, social and personal services",education,"professional, managers, executive and technicians",200,Q2
2000,services,"community, social and personal services",education,"clerical, sales and services workers",100,Q3
2000,services,"community, social and personal services",education,"production and transport operators, cleaners and labourers",-,Q4
2000,services,"community, social and personal services","health, social and community services",total,1400,Q1
2000,services,"community, social and personal services","health, social and community services","professional, managers, executive and technicians",900,Q2
2000,services,"community, social and personal services","health, social and community services","clerical, sales and services workers",400,Q3
2000,services,"community, social and personal services","health, social and community services","production and transport operators, cleaners and labourers",100,Q4
2000,services,"community, social and personal services","other community, social and personal services",total,600,Q1
2000,services,"community, social and personal services","other community, social and personal services","professional, managers, executive and technicians",200,Q2
2000,services,"community, social and personal services","other community, social and personal services","clerical, sales and services workers",400,Q3
2000,services,"community, social and personal services","other community, social and personal services","production and transport operators, cleaners and labourers",100,Q4
2000,others,others,others,total,200,Q1
2000,others,others,others,"professional, managers, executive and technicians",200,Q2
2000,others,others,others,"clerical, sales and services workers",-,Q3
2000,others,others,others,"production and transport operators, cleaners and labourers",100,Q4
2001,total,total,total,total,15900,Q1
2001,total,total,total,"professional, managers, executive and technicians",5800,Q2
2001,total,total,total,"clerical, sales and services workers",4800,Q3
2001,total,total,total,"production and transport operators, cleaners and labourers",5300,Q4
2001,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",total,100,Q1
2001,manufacturing,"food, beverages and tobacco","food, beverages and tobacco","professional, managers, executive and technicians",-,Q2
2001,manufacturing,"food, beverages and tobacco","food, beverages and tobacco","clerical, sales and services workers",-,Q3
2001,manufacturing,"food, beverages and tobacco","food, beverages and tobacco","production and transport operators, cleaners and labourers",100,Q4
2001,manufacturing,paper products and printing,paper products and printing,total,200,Q1
2001,manufacturing,paper products and printing,paper products and printing,"professional, managers, executive and technicians",-,Q2
2001,manufacturing,paper products and printing,paper products and printing,"clerical, sales and services workers",-,Q3
2001,manufacturing,paper products and printing,paper products and printing,"production and transport operators, cleaners and labourers",100,Q4
2001,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",total,200,Q1
2001,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products","professional, managers, executive and technicians",100,Q2
2001,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products","clerical, sales and services workers",-,Q3
2001,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products","production and transport operators, cleaners and labourers",100,Q4
2001,manufacturing,rubber and plastic products,rubber and plastic products,total,100,Q1
2001,manufacturing,rubber and plastic products,rubber and plastic products,"professional, managers, executive and technicians",-,Q2
2001,manufacturing,rubber and plastic products,rubber and plastic products,"clerical, sales and services workers",-,Q3
2001,manufacturing,rubber and plastic products,rubber and plastic products,"production and transport operators, cleaners and labourers",100,Q4
2001,manufacturing,fabricated metal products,fabricated metal products,total,300,Q1
2001,manufacturing,fabricated metal products,fabricated metal products,"professional, managers, executive and technicians",100,Q2
2001,manufacturing,fabricated metal products,fabricated metal products,"clerical, sales and services workers",-,Q3
2001,manufacturing,fabricated metal products,fabricated metal products,"production and transport operators, cleaners and labourers",200,Q4
2001,manufacturing,machinery and equipment,machinery and equipment,total,400,Q1
2001,manufacturing,machinery and equipment,machinery and equipment,"professional, managers, executive and technicians",100,Q2
2001,manufacturing,machinery and equipment,machinery and equipment,"clerical, sales and services workers",-,Q3
