industry1,quarter,recruitment_rate
services,2022-Q1,2.61304347826087
services,2022-Q2,3.1684782608695654
services,2022-Q3,3.1217391304347823
services,2022-Q4,2.652173913043478
services,2023-Q1,2.5395604395604394
total,1998-Q1,2.725
total,1998-Q2,2.45
total,1998-Q3,2.175
total,1998-Q4,2.0
total,1999-Q1,2.125
total,1999-Q2,2.7
total,1999-Q3,2.95
total,1999-Q4,2.75
total,2000-Q1,3.075
total,2000-Q2,3.575
total,2000-Q3,3.425
total,2000-Q4,2.85
total,2001-Q1,3.075
total,2001-Q2,2.75
total,2001-Q3,2.425
total,2001-Q4,1.9249999999999998
total,2002-Q1,2.1
total,2002-Q2,2.5
total,2002-Q3,2.725
total,2002-Q4,2.275
total,2003-Q1,2.4
total,2003-Q2,2.225
total,2003-Q3,2.525
total,2003-Q4,2.475
total,2004-Q1,2.8
total,2004-Q2,3.05
total,2004-Q3,3.0
total,2004-Q4,2.6
total,2005-Q1,2.55
total,2005-Q2,2.9
total,2005-Q3,3.0
total,2005-Q4,2.675
total,2006-Q1,2.725
total,2006-Q2,2.95
total,2006-Q3,3.15
total,2006-Q4,2.725
total,2007-Q1,2.7
total,2007-Q2,3.4
total,2007-Q3,3.3
total,2007-Q4,2.75
total,2008-Q1,2.925
total,2008-Q2,3.325
total,2008-Q3,3.125
total,2008-Q4,2.35
total,2009-Q1,1.95
total,2009-Q2,2.225
total,2009-Q3,2.575
total,2009-Q4,2.5
total,2010-Q1,2.775
total,2010-Q2,3.05
total,2010-Q3,3.0999999999999996
total,2010-Q4,2.725
total,2011-Q1,2.725
total,2011-Q2,2.95
total,2011-Q3,3.1
total,2011-Q4,2.75
total,2012-Q1,2.8
total,2012-Q2,3.05
total,2012-Q3,2.95
total,2012-Q4,2.75
total,2013-Q1,2.825
total,2013-Q2,3.125
total,2013-Q3,2.9
total,2013-Q4,2.625
total,2014-Q1,2.625
total,2014-Q2,2.9749999999999996
total,2014-Q3,2.925
total,2014-Q4,2.55
total,2015-Q1,2.4749999999999996
total,2015-Q2,2.775
total,2015-Q3,2.6
total,2015-Q4,2.425
total,2016-Q1,2.425
total,2016-Q2,2.55
total,2016-Q3,2.3
total,2016-Q4,2.125
total,2017-Q1,2.2
total,2017-Q2,2.375
total,2017-Q3,2.35
total,2017-Q4,2.25
total,2018-Q1,2.35
total,2018-Q2,2.725
total,2018-Q3,2.4
total,2018-Q4,2.25
total,2019-Q1,2.4000000000000004
total,2019-Q2,2.625
total,2019-Q3,2.525
total,2019-Q4,2.15
total,2020-Q1,2.025
total,2020-Q2,1.3
total,2020-Q3,1.75
total,2020-Q4,1.825
total,2021-Q1,2.025
total,2021-Q2,2.225
total,2021-Q3,2.125
total,2021-Q4,2.475
total,2022-Q1,2.575
total,2022-Q2,3.075
total,2022-Q3,2.95
total,2022-Q4,2.55
total,2023-Q1,2.425
